"Y";"X";"Z"
16.2905095122507;4.667310053935;3
11.5729189728084;5.04804264607757;2
20.7721483507848;6.12028288071949;3
20.7328475753656;13.2025274237937;2
9.42616206818981;4.47684452098382;2
21.5847108377422;12.5484791210588;3
23.9286797826052;17.0059279322462;1
16.7937153361896;6.8680058489843;2
18.8385341999339;6.56810061439915;3
18.5706049547061;4.1296105750153;3
12.7056174574264;4.48892952179539;2
14.5478936160371;4.4080159272884;3
15.7931073947928;7.14996100561828;2
11.0123397013172;5.09690102454189;1
22.1445851857469;8.33770272514624;1
21.0552069910419;5.64388394248469;1
16.0281331998575;7.52734596703255;1
24.4299104694894;44.4611749579549;2
14.0865433126824;5.08014920848403;2
15.5579337559625;8.478939362469;2
32.4598655509018;15.65383662164;3
13.4208737648292;4.50646663910167;1
16.4644338611754;6.777459003112;2
13.257647966811;4.27753691069422;1
9.56242825025647;4.67275903353901;2
14.9782490794;5.1052399548899;1
5.33636741349642;4.02705265456831;2
21.787356845674;5.08981636123793;3
20.2962799391674;11.0808360259246;1
23.6780508222943;4.92496192908065;3
14.4333606056832;5.55812997911501;2
16.7774418294136;6.32112566069537;3
14.917333382113;5.62066855827766;2
8.62298558601847;4.43410369511174;2
13.0913440721551;9.62733381142469;2
20.4424942142827;6.94698623081659;3
19.9078394718928;8.81818830787849;3
11.1071674032606;4.23510167246118;2
20.4291613254917;7.60988601383986;3
15.7897806393718;5.21318985900652;3
